en;it;es;fr
Meat§ Fully recovers one hero's Energy.;Carne§ Permette di recuperare tutta l’energia ad uno dei tuoi eroi.;Carne;Viande
Egg;Uovo;;
Health Potion§ Restores full energy to every hero.;Pozione Salutare§ Permette di recuperare tutta l’energia a tutti gli eroi.;;
Red Orbs§ Use them to upgrade your swords.;Sfere Rosse§ Utili per potenziare e fare trasformare le tue spade.;;
Pebbles;Sassolini;;
Iron Ingots;Lingotti di ferro;;
King's Key;Chiave del Re;;
Silver Key;Chiave d'Argento;;
Controller Crystal;Cristallo Controllore;Controlador de Cristal;Cristal de Contrôle
Monolith Key;Chiave dell'Obelisco;;
Regenerator§ Automatically regenerates your energy.;Rigeneratore§ Rigenera automaticamente la tua energia.;Regenerador;Régénérateur
Game Controls;Comandi di Gioco;;
Golden Sword;Spada Dorata;;
Ancient Sword;Spada Antica;;
Flint Sword;Spada di Pietra;;
Soldier's Sword;Spada del Soldato;Espada de Soldado;Epée du Soldat
Zombiesbane;Ammazzazombie;Matazombis;Fléauzombie
Revolt Sword;Spada della Rivolta;Espada de Revuelta;Epée de la Révolte
Revolt Sword II;Spada della Rivolta II;Espada de Revuelta II;Epée de la Révolte II
Gladiator;Gladiator;Gladiator;Gladiator
Gladius;Gladius;Gladius;Gladius
Champion Gladius;Gladius Perfezionato;;
Fire Sword;Spada di Fuoco;;
Coal Sword;Spada di Carbone;;
Radiant Sword;Spada Lucente;;
Platinum Sword;Spada di Platino;;
Final Revolt Sword;Spada della Rivolta Finale;Espada de Revuelta Definitiva;Epée de la Révolte Finale
Spiritual Sword;Spada Spirituale;;
Gelizedor;Gelizedor;Gelizedor;Gelizedor
Howitzword;Spada Cannone;;
Frozen Sword;Spada di Ghiaccio;;
Inferno Sword;Spada Infernale;;
Silver Sword;Spada d'Argento;;
Electrogen;Elettrogen;;
Dragon Sword;Spada del Drago;Espada de Dragón;Epée du Dragon
Ultimate Sword;Ultimate Sword;Ultimate Sword;Ultimate Sword
King's Crown;Corona del Re;;
Fire Pearl;Perla di Fuoco;;
Ice Pearl;Perla di Ghiaccio;;
Light Pearl;Perla di Luce;;
Armor Enhancer§ Increases your Armor's Defense by +1.;Potenziatore Armatura§ Incrementa di +1 la difesa della tua Armatura.;;
Power Gauntlet§ Fully recharges your Skill Bar.;Guanto del Potere§ Ricarica completamente la Barra delle Abilità.;;
Blank-Stare Hero;Eroe inespressivo;;
Old-School Ourhero;Nostroeroe vecchio stile;;
Shadow hero;Eroe ombra;;
Headless Hero;Senza testa;;
Skilled hero;Eroe abilità;;
Bandana and jeans;Jeans e bandana;;
Armor§ It can be upgraded to improve defense.;Armatura§ Può essere potenziata per incrementare la difesa.;;
Ammo Clip§ Recharges the Howitzword's ammunition.;Munizioni§ Ricarica le munizioni della Spada Cannone.;;
Dindini;Dindini;Dindini;Dindini
Scabbard;Fodera;;
Ultimate Armor;Armatura Definitiva;;
