en;it;es;fr
You'll never beat my distance!;Non riuscirai a battere il mio lancio!;;
Remember: breaking the 100m line will net you an extra prize of 100 Dindini!;E ricorda: se raggiungi i 100 metri vincerai un ulteriore premio di 100 Dindini!;;
Your sandbag traveled: \c[18]\v[33]\c[0] meters!§ Your opponent's distance: \c[18]\v[34]\c[0] meters!;Hai lanciato il fagotto ad una distanza di: \c[18]\v[33]\c[0] metri!§ Il tuo avversario ha raggiunto una distanza di: \c[18]\v[34]\c[0] metri!;;
Congratulations, you beat your opponent!;Complimenti, hai battuto il tuo avversario!;;
Congratulations, you reached 100 meters!;Complimenti, hai raggiunto i 100 metri!;;
Too bad, you didn't beat your opponent.;Peccato, non hai superato il tuo avversario.;;
\gTry again?§ Yes§ No;\gVuoi provare un altro lancio?§ Sì§ No;;
Not enough Dindini!;Non hai abbastanza Dindini!;;
\lbl\gSet your wager:\c[14]\lbl;\lbl\gDecidi quanti Dindini puntare:\c[14]\lbl;;
Your opponent's sandbag traveled: \c[22]\v[34]\c[0] meters.§ DO BETTER THAN HIM!;Il tuo avversario ha lanciato il fagotto ad una distanza di: \c[22]\v[34]\c[0] metri.§ DEVI SUPERARLO!;;
Approach the sandbag and strike it (\c[10]S\c[0] key) with the right timing to send it as far away as you can!;Avvicinati al fagotto e colpiscilo (tasto \c[10]S\c[0]) al momento giusto per lanciarlo più lontano che puoi!;;
