en;it;es;fr
Green Forest;Foresta Verde;;
Castle Grounds;Giardino del Castello;Terrenos del Castillo;Terres du Château
Castle Dungeons;Sotterranei del Castello;;
King's Castle;Castello del Re;Castillo del Rey;Palais Royal
Throne Room;Sala del Trono;Salón del Trono;Salle du Trône
Teorhemas Vault;Sala del Teorhemas;Bóveda de los Teorhemas;Voûte de Teorhemas
Arena;Arena;Arena;Arène
Wild Valley;Valle Selvaggia;Valle Salvaje;Vallée Sauvage
Rocky Mountains;Montagne Rocciose;;
Dead Valley;Valle dei Morti;;
Abyssal Waterfalls;Cascate Abissali;;
Forest of the All-Eye Monster;Foresta dell'Occhio Sgorbio;;
Cyberspace;Cyberspazio;;
Kingdom Outskirts;Periferia del Regno;;
Racetrack;Staffetta;;
Ancient Ruins;Antiche Rovine;;
Final Battle;Battaglia Finale;;
Water City;Città dell'Acqua;Ciudad de Agua;Cité de l'Eau
