en;it;es;fr
You can not save in this slot.;Non puoi salvare in questo slot.;No puedes guardar en esta ranura.;Tu ne peux pas sauvegarder ici.
-Empty-;-Vuoto-;-Vacío-;-Vide-
Playtime;Tempo di gioco;Tiempo jugado;Temps de jeu
Location;Posizione;Ubicación;Position
Dindini;Dindini;Dindini;Dindini
Overwrite the file?;Sovrascrivere il file?;¿Sobrescribir el archivo?;Ecraser le fichier ?
Cancel;Annulla;Cancelar;Annuler
Choose a slot to save the game.;Scegli uno slot in cui salvare la partita.;Elige una ranura para guardar el juego.;Choisis un endroit où sauvegarder ta partie.
Choose a slot to load the game.;Scegli una partita da caricare.;Elige una ranura para cargar el juego.;Choisis la partie à lancer.
owned;posseduti;tienes;acquis
Buy;Compra;Comprar;Acheter
Sell;Vendi;Vender;Vendre
Leave shop;Lascia il negozio;;
New Game;Nuovo Gioco;Nueva Partida;Nouvelle partie
Continue;Continua;Continuar;Continu
Quit the game;Chiudi il gioco;Salir del juego;Quitter le jeu
Quit;Esci;Salir;Quitter
Back to Title;Torna ai Titoli;Pantalla principal;Retour à l'écran-titre
Save game;Salva partita;Guardar juego;Sauver le jeu
Items;Oggetti;;
Equipment;Equipaggiamento;;
Level;Livello;Nivel;Niveau
Remove;Rimuovi;;
Upgrade weapon;Potenzia arma;;
Go on;Procedi;;
You got;Ottieni;;
Stats;Statistiche;;
Skins;Costumi;;
Trophy Hall;Sala dei Trofei;Sala de trofeos;Hall des trophées
Equip;Equipaggia;Equipar;Equiper
ATK;ATK;;
Locked;Bloccato;;
Requirement;Requisito;;
Exit game;Esci dal gioco;;
Unlock;Sblocca;;
You can now use;Ora puoi usare;;
Website;Sito Web;Sitio Web;Site internet
Language: ENG;Lingua: ITA;Idioma: ESP;Langue: FRA
YOU LOSE\c[10];PERDI\c[10];;
\c[15]Use \v[95];\c[15]Usa \v[95];;
Lotsa;Tanti;;
Already active.;In uso.;;
View;Visualizza;;
YOU FOUND\c[14];TROVI\c[14];HAS ENCONTRADO\c[14];TU TROUVES\c[14]
YOU HAND OVER\c[14];CONSEGNI\c[14];HAS REGALADO\c[14];TU AS DONNÉ\c[14]
YOU GOT\c[14];RICEVI\c[14];TIENES\c[14];TU REÇOIS\c[14]
Act \v[45]:\c[2];Atto \v[45]:\c[2];Acto \v[45]:\c[2];Acte \v[45]:\c[2]
\c[14]COMPLETED!\|\|\.\^;\c[14]COMPLETATO!\|\|\.\^;\c[14]¡COMPLETADO!\|\|\.\^;\c[14]TERMINÉ !\|\|\.\^
The;Il;El;Le
The;La;La;La
The;I;Los;Les
The;Le;Las;Les
Ourhero;Nostroeroe;Nuestrohéroe;Notrehéros
Tay;Tay;Tay;Tay
Fury;Fury;Fury;Fury
King;Re;Rey;Roi
Sage;Saggio;Sabio;Sage
General;Generale;;
Enable;Attiva;;
Disable;Disattiva;;
Fiery;Infuocato;;
Icy;Ghiacciato;;
Electric;Elettrico;;
To use this weapon you have to upgrade it first.;Per utilizzare quest’arma devi prima potenziarla.;;
DEF;DEF;;
Upgrade armor;Potenzia armatura;;
